Código,Produto,Categoria,Valor
941,U.FONDUE - MOLHEIRA,BAR PRODUTOS,"R$6,00"
931,U.FONDUE - PRATO ALMOÇO,BAR PRODUTOS,"R$6,00"
930,U.FONDUE - PRATO SOBREMESA,BAR PRODUTOS,"R$6,00"
984,U.FONDUE - TALHER COLHER,BAR PRODUTOS,"R$6,00"
940,U.FONDUE - TALHER ESPETOS,BAR PRODUTOS,"R$6,00"
982,U.FONDUE - TALHER FACA,BAR PRODUTOS,"R$6,00"
983,U.FONDUE - TALHER GARFO,BAR PRODUTOS,"R$6,00"
929,U.FONDUE - TAÇA PAULISTA,BAR PRODUTOS,"R$6,00"
928,U.FONDUE - TAÇA VINHO,BAR PRODUTOS,"R$6,00"
934,U.FONDUE - TRAVESSA,BAR PRODUTOS,"R$6,00"
709,UTENSÍLIO - CALDINHO COPO,BAR PRODUTOS,"R$7,00"
708,UTENSÍLIO - CALDINHO PRATO,BAR PRODUTOS,"R$7,00"
707,UTENSÍLIO - CUMBUCA M,BAR PRODUTOS,"R$9,00"
706,UTENSÍLIO - CUMBUCA P,BAR PRODUTOS,"R$7,00"
736,UTENSÍLIO - TRAVESSA CALABRESA,BAR PRODUTOS,"R$10,00"
1084,UTENSÍLIO - TRAVESSA ARRUMADINHO,BAR PRODUTOS,"R$23,00"
738,UTENSÍLIO - TRAVESSA ASINHA,BAR PRODUTOS,"R$20,00"
742,UTENSÍLIO - TRAVESSA BATATA,BAR PRODUTOS,"R$6,00"
